content
@lufthansa How can @lufthansa justify inconveniencing my 70-year-old father? Canceling his business class ticket to LA due to a strike without any warning or apology is simply unacceptable. It's time for Lufthansa to step up and take responsibility for their actions! #BoycottLufthansa
"First-class passengers on British Airways' Boeing 747 have raised concerns about a redesign featuring windows in select lavatories. A female traveler heading to New York voiced unease over the absence of blinds. A flight attendant reportedly quipped, ""Madam, if someone’s peering in at 35,000 feet, they’ve earned the sight."""
"False accusation or real story? https://t.co/NYw6BJYpVt QT @nypost: NYC CEO told ‘Men just do stuff like that,’ after fellow American Airlines passenger masturbated for an hour in first class: Lawsuit https://t.co/yJECWDrSzF https://t.co/hy69tf6L4k"
"Surely calls for lots of duct tape? Trust me, it’s a lot more civilized where we plebs ride, way back in rows 90-99 with our knees rammed against our chests… https://t.co/ykuIaGe59Y QT @MikeSington: Woman tries to barge into cockpit of American Airlines flight to New York. Flight attendant tackles her to the floor, chaos ensues in First Class. https://t.co/Qx72nMDjxs"
@thecubanb33 @Raindropsmedia1 It was because she’s black. I work for American Airlines myself. They give us exactly the right amount for each first class person who’s booked. Never less. Also there’s a rule that if we can’t serve the entire first class a meal nobody gets them they hustle get drinks. So yea…
@AmericanAir @HarmeetKDhillon Nothing say American Airlines like a flight attendant bitching me out because I wanted to speak English and not Spanish. Actually happened in business class.
"@FredFellaIMO No one took me up on my offer to go to Washington DC and testify if they would pay for first class on Amtrak. I'll volunteer for the Afd hearings. I'll need round trip first class on Lufthansa, good hotel, and a translator https://t.co/bEPFLFNQw7"
"His wife in the back is so real cause period she standing behind her man 😂 https://t.co/O7nW9C58V9 QT @ArtOfDialogue_: ""I'm not going to let y'all disrespect me like that,"" Juvenile chooses to get off the plane after American Airlines tries to move him from first class to coach. https://t.co/CqnNCaBQQo"
"I actually like the windows. The bathroom already small and cramped and let a lil sun in there to make it feel less like you're in a prison https://t.co/UWOLWCGsBx QT @Turbinetraveler: Passengers flying British Airways’ Boeing 747 in First Class raised eyebrows over lavatories redesigned with windows — and no blinds. One passenger heading to New York reportedly complained about the lack of privacy. A stewardess reportedly responded, “Madam, if someone is clinging to the side of this aircraft at 35,000 feet, they’ve earned the view.”"
Air France-KLM Flying Blue Promo Rewards: Business Class For 45K Miles https://t.co/D4F4TfsTos
Soon in Turany International Airport 😁 https://t.co/ARpFwVn8aJ QT @Aircraft_Spottr: Really looking forward to trying Ryanair's new first class...... https://t.co/5SBvPzUVjD
"@NorthrnPrspectv 'Nuff said: https://t.co/mjZ7DmJuIP QT @Trudeaus_Ego: This morning, Minister of Pensions @theJagmeetSingh was caught living like the average Joe. While sitting in a $5,000 First Class pod on Air Canada. I wonder if anyone out there still believes us, when we say we are fighting for ordinary every day Canadians. https://t.co/EX9ScVuFt9"
Enjoying a Flight on Air Canada's Signature Business Class Service Vancouver - Ottawa https://t.co/5GkZDU1Rh9
Chaos in American Airlines business class as passenger is thrown to the floor by flight attendant she then threatens to ‘kick in the balls’ #AmericanAirlines #Flightattendant https://t.co/yMV0h7uX36
The Iberia Airlines Club in Madrid which we were able to enjoy as an American Airlines customer was fantastic. @AmericanAir QT @BillMiami: The VIP lounge for American Airlines business class customers in Barcelona 🇪🇸 is a pigsty. @AmericanAir https://t.co/jAa8TX414j
"RAB d' Airbus , passé sous contrôle allemand ; ils n ' ont même pas participé à l' épopée du Concorde ! https://t.co/3giQ7A92a5 QT @Gate7aviation: Lufthansa vient d’accueillir son tout premier #A350 équipé de la cabine Allegris First Class dans son hub de Munich. L’avion flambant neuf baptisé « Leverkusen » immatriculé D-AIXW est arrivé d' #Airbus à Toulouse.#Lufthansa #FirstClass @MUC_Airport https://t.co/TwzGvBgp1t"
This American Airlines first class does not eat down 😒
Flying Solo in Air France First Class :) https://t.co/f2FPKOVTFm via @YouTube
@lufthansa Worst airline out there - embarrassing business class
@Dean_J1943 @Ryanair Its called business class haha
Google! No! Bad! https://t.co/XzpkNVoxfQ https://t.co/ZS0xwoexAV QT @libsoftiktok: NEW: First class passenger alleges that American Airlines bumped him to make room for Joe Biden https://t.co/Gh47CxqxYi
