read
"パッケージが可愛いこと以外、特筆すべきことがないかな。
かなり軽いテクスチャーなのでメイク前の使用でも邪魔にならないのは◎。しかし他のデパコスはもちろんドラストのリップにも劣ります。
詳細をみる"
"プレゼントでもらいました。持ち歩くだけでテンション上がる！保湿力や塗り心地はさすが。私はイエベなので正直あまり色は似合わない（色白ブルベ向きだと思う）ので、少し指でぼかしています。
詳細をみる"
"評判良いし欲しかったんですよね！
リップケアにも良いし、細かい白みラメが
重ね塗りすると綺麗に色づく！
しっかり高保湿でベタつかない仕上がり。
お気に入りです
詳細をみる"
"年末にホリデーを買ったばかりだけど、1/28に値上げされると聞いてその前に買っておこうかな？と思い白シャネル購入。ローズ系だけど青みが少なく、イエベの私にもしっくりきてデイリーに使いやすい色。バームだから色持ちは期待してなかったけど、お茶した後も意外にきれいに残っていたのが良かったです。バレンタイン仕様のチャームも可愛いすぎました
詳細をみる"
"友人からプレゼントでいただきました！
保湿効果もあり、唇が柔らかくふっくらなります。これを塗った後にお気に入りの口紅を塗るといい感じです！
もうすぐ使い終わるので、リピ買いしようと思います！
詳細をみる"
"潤いがあって、乾燥しない、ひと塗りで肌を綺麗に魅せてくれるナチュラルな血色感のあるカラーで持っていると気分も上がります！
詳細をみる"
"みなさま書いているように、白×ゴールドのパッケージは可愛い！さすがシャネル。持っていて気分が上がります。小ぶりなのも良いです。

でも本当に色付きリップ、という感じです。
つけたてはさりげない色味が良いのですが、あまり持ちません。そこまで保湿力も無いように思います。飲み物を飲んだ時はグラスにつきます。

敏感肌で荒れがちですが、これは大丈夫そうでした。
化粧品ぽい香りがほんのりしますので、ちょっと気になります。

このお値段でこれだとリピートはないかな…
でもパッケージはとにかく可愛い。
詳細をみる"
"936チリングピンク
リップクリーム代わりに購入。
ドリーミーホワイトも気になったけど、ラメが入ってると言うのね。
チリングピンクはほぼ色はつかない。

マイローズはいい感じの発色です。
以前の口コミでは縦皺が目立つと書きましたが、冬場に購入して、リップケア全然してなかったので、それが原因だと思う。
今はふっくらいい感じの唇になれてます。


以前のマイローズについての口コミ↓

アリュールラック買いに行ってついでに購入。
色見本全然あてにならないので、タッチアップ必須。
いい色なのですが、唇の縦皺が目立ちます。。。
マットリップでもないのに。
バームなのに。涙
詳細をみる"
"○発色がいい。重ね塗りすればするほど鮮やかになります。保湿力もややある。
△色持ちは良くないかな。食べ物を食べると落ちます。塗り直しを3回以上すると、色が唇の周りに広がるし、うまく色も乗らないし、ちょっと汚い印象になってしまいました。あと、毎日使ってると唇の皮がむけてしまいました。

でも、塗り心地はいいです。塗った時の唇の鮮やかさが好きで、荒れるけどリピートしたいな、と思ってしまうくらいお気に入りの発色です。
詳細をみる"
"ブルベ夏イエベ春（自己診断です）

お友達からプレゼントでいただきました！

ピンクベージュの控えめなカラーで
血色を持たせたい時に使用しています。

唇皮向け族なので唇が乾燥していたり調子が悪いと
ココボームをつけても唇荒れが進行してしまうのですが

唇の治安が良い時はココボームをつけても唇荒れもなく大丈夫でした！！


ホワイトカラーのケースも可愛いくてポーチに入れてるだけでテンションあがります！！
詳細をみる"
