read
データ概要
"トロッとしたテクスチャーで唇荒れません！
色もちはそれほどでもないですが
みずみずしい唇になります。
詳細をみる"
"SNS等で人気なのでB10 ヨーグルト 70%を購入

まぁ想像はついていましたがｗ
かなり薄いですｗｗ
ティントではないので落ちる

濃い目のリップの上に塗ると薄膜が貼れていいかもしれないですが２０００円近い価格なので
リぴや他の色を購入することはないですね。
詳細をみる"
"前から気になっていました。
なかなか思うようなリップが見つかりませんでしたが、これはとても良いです。
イエベブルベ関係無しに使用できると思います。
オフィスでも浮かずに使えると思います。
詳細をみる"
"ちゅるちゅる唇になれるリップです！
バニラはくすみのないピーチカラーで若々しい唇になれます。
大人には、後に出たくすみカラーが似合いそう。
口に入るとちょっと苦い味がのこるのとベタつくのでリピなしですが、とてもかわいいリップだと思います。
詳細をみる"
"パケもかわいいし発色も良くて唇がぷるぷるに見えるのでかなり気に入ってます！
液誰も私も気になっていないので、ポーチに入れて持ち歩いています。
ティントではないので色持ちは△ですが、落ちにくいリップの上から仕上げとしてのせると唇がぷるぷるになって保湿もされるので日中の塗り直しはこれだけのときもあります。
パケも可愛いので他の色も試してみたいです。
詳細をみる"
"ツヤのあるグロスで乾燥しているときに使っています！
グロスなので、塗り直しが必要ですが、色も濃すぎず薄すぎず日常的に使いやすいです！
詳細をみる"
"保湿と色付けが同時にできるからリピあり！
2?3時間つけなくても唇が乾燥しません
気になる点は、べたべたすることと色が落ちることです
フルーティーないい香りがします
詳細をみる"
"めっちゃ皮剥けます。
塗ってめちゃくちゃ潤ってると思いきやその下で皮がベロベロになります。
セザンヌのウォータリーティントが好きで、それをよく使うのですが、めちゃくちゃ寒い日に流石にグロスを重ねようと思い重ねてみたら、昼頃にはベロベロになってしまいました。

これが皮向けと確信する前にも、今日はリップを試して買いたいから、これでとりあえず潤いだけ、、と思ってつけていって、いざ化粧品店で、拭き取らせてもらったら皮向けボロボロでティッシュもめっちゃつくし大変でした笑

色は可愛いし質感も好きだったけど、いかんせんかわべろべろになるのがわかってしまったらもう使うのはやめておこうかな、、と思っています。

でも同じ商品でも皮剥ける剥けないが色による時もあるので、とりあえずスコッチ70はわたしは皮向けしやすいという結果でした。
詳細をみる"
"カラーはロージー70を購入しました。

人気な理由がわかる！！。

そんなリップでした。

カジュアルな服に合うかな。

とにかく艶がすごい。

こんなにうるうるになるんですね！！

カラーはロージーであれば、30代も使いやすいなと思いました。

とにかく艶が持続するので、これはリピートです。
詳細をみる"
