read
"5番購入しました。ピンクとレッドの中間くらい。黄みにも青みみも寄っていない丁度良い絶妙な色です。顔色が明るく見えます。くすみがちな40代にはありがたい。
そのままでも透け感があってスルスルっと塗れるのでかわいいですが、手持ちのヌーディな色などの上から唇内側にポンポン塗りするととてもかわいいです。
潤い感があって乾燥しづらく皮剥けも今のところしません。
詳細をみる"
"＃２ヘルシーグロウプランパー（限定パッケージ）

パッケージに惹かれて、とてもとても久しぶりにYSLのリップを購入しました。

マスク必須なので色が付かないこちらのお色味を購入。
マンゴーのような香りは変わらないですね。

リップは合わないと皮剥けしてしまう事がありますが、こちらは大丈夫でした。

潤いが持続し、縦皺が気にならなくなります。
金額はお高めですが、購入して良かったです。
何よりこのパッケージが本当に可愛いので、持っているだけでテンション上がります(^^)
詳細をみる"
"1stストロングオータム、2ndビビッドウィンターでくすみが苦手な私には16番は合わなかったです。何も塗ってないかのようで血色が悪く見えます。

こちらの商品を皮切りにいろいろリップを購入してみましたが、比較すると唇が荒れない気がします。色は落ちやすいです。

香りはマンゴーのよう。YSLの香り全般好きです。

むっちりとしたツヤのあるリップで使用感は好きなので、また違う色に挑戦してみようと思います。
詳細をみる"
"普段は深めのブラウン系リップを愛用していますが、イエベの私でも使いこなせそうな赤リップを探してSNSでこちらのカラーを見かけて一目惚れしていました

しかしいつみても欠品していてなかなか手に入れられず先日ついに入手！

実際の色味もイメージ通りでパーソナルカラー問わずに使えるブラウン系の赤リップでした、大優勝！

デパコス特有の香りの強さですが付けていて嫌な匂いではないです、塗り心地もよく色持ちもいい方だと思います！リピ確です。
詳細をみる"
"良すぎてプレゼントしまくってます。
他ブランドも色々とベースとしてカラーなし+保湿のいわゆるリップクリームが商品としてありますが、個人的に群を抜いてYSLがナンバーワンです。

重めのネットリテクスチャですが、ベッタベタになる感じではなく、次のリップメイクに干渉せず保湿できます。こちらを使用するようになってから圧倒的に唇の皮むけ減りました。

寝る前にも使用しますし、基本的に常に塗っています。
いい意味で匂いもなく、本当に大好きです。
こちらを使用するようになってから他ブランド使えなくなりました。

もーーーーちょっとだけサイズが小さいと持ち運びに便利なのですが、見た目かわいいので許容範囲です。
カチカチとダイアルを回してリップをひねり出すのですが、商品の仕様上リップは戻せない構造です。カチカチに回数があるようであんまりにも調子こいて出し過ぎるとフタが閉まらなくなるので注意。
最初慣れるまではちょっと使いにくいなとも感じましたが、よくよく考えてみればリップ本体を出し入れはあまりしない方が衛生的に決まってるので文句なしです。

かなりお気に入りで人の誕生日だとかプレゼントにこちらの商品送りまくってます。そして送った人全員すごく良いと言ってるので良いんだと思います。
詳細をみる"
"カサカサした唇にじんわりゆっくり馴染ませると
瞬時に艶々潤いました。
ぷっくり感は想像より控えめでした。
手持ちリップに保湿感や少し厚みが欲しい時
重ねてみようとおもいます。
香りは全く気にならないです。
詳細をみる"
"リピ3本目です！
ねっとりテクスチャーでコップには付いちゃいますが、その分艶が綺麗です。

3番のカラーが大好きで、フルリップで塗るのではなく、ベースのリップを全体に塗ってから、中央にこちらを重ねてグラデーションにしています。
こんな使い方なので、なかなか残量がなくならないですが、どのベースリップを塗ってもこちらを重ねるので結局3本目突入しました。今後もリピすると思います！
詳細をみる"
"唇のボリューム感、ツヤ、
セクシーな大人リップ。
シーン問わず使いやすいヌーディーカラー。
イエベカラーな私使いやすかった。肌に馴染む。
詳細をみる"
"百貨店で購入。グロスよりも口紅の気分だったのでカウンターで相談して購入しました。結果唇が荒れる事もなく1本使い切りました。香りが気になる方もいるようですが自分は特に気にならず。また友達からも褒められました！かなり人気なようなのでまた購入したいですがプラダビューティーも気になるので2本買おうか迷い中です…
詳細をみる"
"【ysl最新】【先行購入】
YSL ラブシャイン　キャンディグレーズ
／イヴ・サンローラン
発売日2026.2.6


YSL2026はローズピンクとシルバー
のスプリングコレクションの先行で
【#２　ヘルシーグロウプランパー】を購入しました
（私は既存キャンディグレーズのページはクチコミ有りますが
今回限定パッケージコレクターの発売なので新しいページにクチコミいたします）


普段は既存キャンディグレーズ愛用しています
使っていない時期も有りましたが
こちらは手放せないモノとなりました
1年位前に気がつきました・・・

こちらをね、
就寝前の愛用品に決めました
（それまでは昼使っても余り
#2は必要ないから使わないかも？と考えていました）
なので
就寝前はこれ1択と決めて1年以上経ちました
カウンターで聞きました
就寝前に使うとか考えた事無かったし、公式配信等では見てたけど別にわざわざ就寝前に使わなくてもとかね
おもっていたので・・・なんですが
使い初めて手放せないモノになりました
多分、他のブランドの就寝前の愛用品リップは今後買わないと決めました
これ#2を就寝前に使っています
翌朝特別に良い状態になっています
別に、今回限定パッケージ買わなくても良かったんですがね
だって価格も既存より高いしね!
だた、キャンディグレーズ他にも愛用しているので
手持ちのパッケージが全部同じなんですよね
愛用していると底面のシール剥がれてしまうし
開けないとわからないのでね
YSLに関わらず底面記載シールは薄くなりますでしょ、
なので今回も区別したいので買いました
ちなみに私はコレクターさんです


とにかくすばらしいと感じたのは
ズバリね、
唇が荒れていてもシワに入り込むんですよね
仮に唇が皮膚めくれしたと仮定しても入り込むので翌朝は
何もなかった様に修復作業が完了されているので
唇がね、綺麗な皮膚でいられますよ
こちらよりも高いリップや口紅とかね
沢山化粧台に有りますが
はっきり言うとこの#２は就寝前にはかなり効果があります
すばらしいです
評価7


価格書いておきます
￥6600（税込）

既存べつカラーも愛用しているので
時間ある時にそちらも追記したいです


私、個人の感想になります
詳細をみる"
"ブラウン好きとして、色味は合格です。深みのあるブラウンで、秋冬に使いたいリップです。ただ、思ったよりも柔らかめで油断するとベトっとついてしまうので、注意が必用です。
詳細をみる"
"リップのタッチアップの際に、こちらを下地として何度か塗ってもらったら唇がすごくもっちりして、感動したので購入しました。

塗れば塗るほどもちもちします。

普段はキャンメイクのリップスクラブをかかさず塗っているのですが、それと合わせて使うと無敵です。
どんな乾燥している日でも、どんなリップを使っても全然ガサガサになりません。

BAさんもとてもおすすめされてて、気持ちがわかりました。お値段は結構しますが見た目が可愛いので使う時、気分が上がります。
詳細をみる"
"No.4のヌードプレジャー使用。
当方イエベ春、セカンドは秋です。

オレンジが強いかな？と思いましたが、若干ピンクみもある可愛いお色です。
明度も高すぎず、低すぎず。落ち着いた色味なので大人っぽいメイクに合います。
わたしの肌は黄味を吸収するタイプですが、ピンクに転ばないのも嬉しい。

何よりこのリップは他にない塗り心地、仕上がり。
縦じわはどこかへ消えてむっちり、ぷるぷる。グロスのツヤツヤ感とはまた違う感じ。
発色もいいです。

色味、仕上がりが最高なのでこれで色持ちが良かったらな?とも思いますがそうなるとこのむっちり感は出せないのかもしれませんね。
色持ちは良くないです。これつけて飲み物飲むと、コップにべったりついてる。笑
それを差し引いても使いたくなります。

パケも高級感があるので、ポーチに入れてるとテンションが上がります。

ただマンゴーのような独特な香りは少し気になるので、香料が苦手な方は要注意。

デートのときに使いたいなって思うリップです。
詳細をみる"
"上品で使いやすい色でした。
詳細をみる"
"パケが安定に可愛いです。
もちもち潤うので重宝します。
詳細をみる"
