read
"ケースのみの購入！
高級感あって好きです！RMKのリップ入れてます。
気付いたら値上がりしてて残念。。
詳細をみる"
"このシリーズのリップが好きで、11潤茶と13花憂を愛用中です！
ツヤ感も発色も最高で、リップが取れた後もほんのり血色が残るようなきれいな落ち方です。
個人的には薄く塗るのが好きです。
限定ケースも可愛かったので、黒と白のケースで色分けして使っています。
詳細をみる"
"値上げ前に購入しました。今回はケースのみですが、見てるだけでテンション上がります！
詳細をみる"
"SUQQUのリップは本当に使い心地が良く潤いもありながら唇を綺麗に魅せてくれます。
今回は公式さんでゲット出来なかった限定のお品に出会えたのでお迎えしました。
詳細をみる"
"塗りやすさ、発色ともに最高！
詳細をみる"
"イエベ春の方にとってもオススメな色味です！
よく見ると小さなラメが入っていて、唇がとても綺麗に見えます。
濃いわけでもなく薄い訳でもない絶妙な色味が最高です。
濃い色を塗ると唇の主張が激しくなってしまう私でも上手につけることが出来たのでおすすめです！
詳細をみる"
"ブルベ夏セカンド冬、乾燥肌、唇の赤みが強いタイプです。
いつかSUQQUのリップ買おうと思っていて機会を逃していましたが、こちら花憂を見た瞬間に一目惚れ、即購入しました。
保湿をうたっていても、皮むけしてしまうリップが多いですが、こちらは全く問題無なし。
いわゆる青み吸収タイプで、塗ったすぐは良くても、時間経過で黄転びしてしまうアイテムが多いのですが、最初から最後まで青みが消えず、綺麗なダスティパープルでいてくれました。
オトナのモーブという感じで、オンオフ問わず活躍しています。
色持ちも悪くないです、飲食すればもちろん落ちますが、話す仕事ですが問題ありません。

花朧届いので早速お試し。
見た目かなりブラウンですが、私の場合、塗るとローズ味が勝ちます。
万人受けするピンクブラウンだと思います。
黄転びするリップが多いですが、こちらは珍しく時間経過で青みが出ました。
顔料などの関係だと思いますが、花憂よりやや色持ちが良くないかな。
リプモンのダークフィグに似てるとの噂ですが、確かに似ていますが、もう少しシアーで赤みが強くないので、使いやすいです。

持ち歩くことがあまりないので、ケチってレフィルだけ購入しました(笑)
印象としては、ケースなしのお値段でケースが付いたら適正価格かなぁ…
詳細をみる"
"この2年ぐらいはずっとKaneboとシュウウエムラのリップばかり使っていて、久しぶりにSUQQUのこのシリーズのリップを購入してみました。
本当はチークを予約しにカウンターに行ったのですが、その際にこちらをタッチアップしてもらったら、見た目とつけた時の印象がいい意味で全然違ったので。リップ自体の見た目はブラウンですが、私の唇では、ブラウンがかったローズに発色しました。控えめなゴールドのラメがとても上品で、モードな感じに仕上がりました。
いつもピンクやローズなど明るめの色ばかり使っているので自分的にはチャレンジでしたが、アイシャドウを明るめにしたときに、リップの色は抑えたい、というメイクの時にちょうど良く、出番が多くなりました。
この冬の時期も乾燥せず、持ちも割と良く、他の色も買ってみようと思いました。
詳細をみる"
"RMKのリップレフィルを入れるためにケースのみ購入しました。汚れや傷も目立たず、高級感もありお気に入りです！
詳細をみる"
"しっかり発色するリップだと思います。ラメもキラキラして綺麗。飲食すると落ちますが。しっかり潤います。
実際見てから買ってみて正解でした。在庫あってよかった。
詳細をみる"
