read
"安定のオペラ！塗り心地がすき。プチプラとは思えないほどの滑らかでツヤツヤのリップ。

ティントなの？ってくらい塗り立てはツヤツヤだけど時間が経つとちゃんとティント使用になっていてかわいかったです。
詳細をみる"
"発色がかなりいいです。あと、落ちにくい。マスクにつくのが嫌なのでマスクにつきにくい商品を探して色々使ってますが、これは当たりでした。
詳細をみる"
"ちょうど新色のキャンペーンをしていたので、あいそうな色を一本チョイスしました。ツヤ感もあってよいです。
唇も荒れなかったです。もう一本くらいあってもいいかなと思います。もう少し使ってみて良かったら買い足す予定。
詳細をみる"
"可愛い上にあまり乾燥しません。最高！
詳細をみる"
"保湿力がとても高くて、毎日塗っています。
カラーもすごくナチュラルです。
詳細をみる"
"ブラウン系のリップが欲しくて限定のカカオフレイズを購入しました。
塗りたての色は可愛いのですが4.5時間くらいでティント特有の蛍光っぽい赤色とラメが残ってしまいました。唇が荒れている時みたいな、綺麗じゃない赤です
これだったらティントじゃなくて普通に色落ちしてくれたほうが良いです、、、
詳細をみる"
"限定のカカオフレイズを購入してみました！
パーソナルカラーはイエベ秋ニュートラル×ディープです。
初めてのOPERAでしたが、感想は最高でした！
色味も思ってた通りの色で、ダークチョコっぽい色にほんの少し赤みが入ってる感じでした。
スルスル塗れるし、光に当たった時のラメ感がとても綺麗です。質感はセミツヤくらいでピタッと密着してる感じで色持ちも良き。ベタベタ感も少ないし、匂いもなし！
最近は毎日使ってます！
詳細をみる"
"ベイビーピンクを購入しました。

あまり皮むけしないと口コミを見かけましたが
やはりティントなので私は皮むけが気になりました。
(他のティントよりはマシ)

塗りたてはナチュラルな発色ですが、時間が経つとかなり色が赤くなります。
詳細をみる"
"朝から夕方まで寒風にさらされているので唇の皮剥けをできるだけ軽くしたい
ツヤも欲しい
できるだけ安いもの
が条件で購入しました
乾燥したままの唇だったのでツヤが出ませんでした
私の唇の色のせいかオレンジが強く出ました
白みの強いベージュが良かったかな
詳細をみる"
"たまに使いたくなるリップ。ナチュラルメイクの日にちょうどいい血色感。唇が荒れやすい私でも比較的使いやすくて、ティント特有のパキッと感が出にくいのが嬉しい。ツヤが強すぎないからオフィスメイクにも使える。一本持っておくと便利な安定リップ。
詳細をみる"
"いつもはプラムをリピしてるのですが今回はソフトロゼとロゼピンクを購入しました。やっぱりオペラのリップは色良いし、落ちにくくて良いです。
詳細をみる"
"さりげないラメが入っていて、オフィスメイクでも使いやすくて良かったです。
唇が乾燥してると荒れが少し気になるけど、保湿したら綺麗に濡れました
詳細をみる"
"イエベにおすすめ
詳細をみる"
"「ティント」ってついてるから見たままの発色、公式写真のままの発色はしないだろうなってわかってた…
でも色がかわいくて欲しかった！ので買いました！
結果買ってよかったです！

オペラのリップは初めて使いましたが、スルスル塗れるのが気持ちよくて密着感も高いです
リップ本体の色は血色控えめのベージュですが、唇にのせるとややピンクみが出てきてベージュみのピンクに発色します
ツヤツヤちゅるちゅるでかわいいです

元の唇の色によって発色の仕方が変わってくると思いますが、血色がいい方の私でも赤くなり過ぎず、蛍光転びせず、ティントだけどくすみ感が残って使いやすい！
本当にありがたいです…
元の色がくすみ全振りなのと、シアーな質感で薄づきなおかげもあるかもしれません

あとラメがきれい！
スティックで見る時より塗った時のラメ感はやや少ないけど、光にあたった時にちらちらと輝くのがかわいいです
飲食や時間経過で色ツヤが落ちても、ラメは少し残ってます


年末にSNSを見てこの色かわいい！ムーンリットベージュって名前も素敵！となるもストアは売り切れ、お店にももう置いてなくて諦めかけてたんですが、バレンタイン限定色発売の時に見たら在庫復活してて、しかも期間限定で送料無料になってたのでポチりました！
公式ストアの送料無料、2/12の正午までみたいなんで、今買いたいのある方はぜひ！
（めっちゃ案件みたいな文ですけど案件じゃないです！笑）
詳細をみる"
